_id,operator_registration_number,postal_code,ward_number,ward_name
450864,STR-2109-GMVPHG,M6M,5,York South-Weston
450865,STR-2109-GWBPHH,M4Y,13,Toronto Centre
450866,STR-2109-HDHPHJ,M6H,9,Davenport
450867,STR-2109-HLPPHK,M5J,10,Spadina-Fort York
450868,STR-2109-HTVPHL,M5E,13,Toronto Centre
450869,STR-2109-JCBPHM,M4Y,13,Toronto Centre
450870,STR-2109-FHLBHB,M4S,12,Toronto-St. Paul's
450871,STR-2109-FQSBHC,M5J,10,Spadina-Fort York
450872,STR-2109-FXYBHD,M4L,14,Toronto-Danforth
450873,STR-2109-GGFBHF,M5P,12,Toronto-St. Paul's
450874,STR-2109-GPLBHG,M4M,14,Toronto-Danforth
450875,STR-2109-GWSBHH,M6H,9,Davenport
450876,STR-2109-HDYBHJ,M5B,13,Toronto Centre
450877,STR-2109-HMFBHK,M6P,4,Parkdale-High Park
450878,STR-2109-HVLBHL,M6E,8,Eglinton-Lawrence
450879,STR-2109-JCSBHM,M1M,24,Scarborough-Guildwood
450880,STR-2109-FJBPHB,M3L,7,Humber River-Black Creek
450881,STR-2109-FRHPHC,M5R,11,University-Rosedale
450882,STR-2109-FYPPHD,M2K,17,Don Valley North
450883,STR-2109-GQBPHG,M6M,5,York South-Weston
450884,STR-2109-HFPPHJ,M6N,9,Davenport
450885,STR-2109-HMVPHK,M9R,1,Etobicoke North
450886,STR-2109-JDHPHM,M6L,5,York South-Weston
450887,STR-2109-FJSBHB,M6S,4,Parkdale-High Park
450888,STR-2109-FRYBHC,M5R,11,University-Rosedale
450889,STR-2109-GHLBHF,M6N,9,Davenport
450890,STR-2109-GQSBHG,M3K,6,York Centre
450891,STR-2109-GXYBHH,M5A,13,Toronto Centre
450892,STR-2109-HPLBHK,M4H,15,Don Valley West
450893,STR-2109-JDYBHM,M5B,13,Toronto Centre
450894,STR-2109-FKHPHB,M6P,9,Davenport
450895,STR-2109-FSPPHC,M6J,11,University-Rosedale
450896,STR-2109-FZVPHD,M2J,17,Don Valley North
450897,STR-2109-GJBPHF,M4L,19,Beaches-East York
450898,STR-2109-GRHPHG,M2J,17,Don Valley North
450899,STR-2109-HGVPHJ,M9W,1,Etobicoke North
450900,STR-2109-HQBPHK,M5V,10,Spadina-Fort York
450901,STR-2109-HXHPHL,M9C,2,Etobicoke Centre
450902,STR-2109-FKYBHB,M6P,9,Davenport
