_id,operator_registration_number,postal_code,ward_number,ward_name
447796,STR-2102-HRCRVK,M5V,10,Spadina-Fort York
447797,STR-2010-FFCKPB,M6L,5,York South-Weston
447798,STR-2010-JCHDVM,M4G,15,Don Valley West
447799,STR-2111-FZMKVD,M2J,,
447800,STR-2010-HKWKPK,M6N,5,York South-Weston
447801,STR-2107-HQHPHK,M2M,18,Willowdale
447802,STR-2108-GYJVHH,M5V,10,Spadina-Fort York
447803,STR-2108-HGQVHJ,M1E,24,Scarborough-Guildwood
447804,STR-2008-FMKPBC,M4T,11,University-Rosedale
447805,STR-2009-FVRPBD,M6G,11,University-Rosedale
447806,STR-2009-GCXPBF,M1L,20,Scarborough Southwest
447807,STR-2009-GLDPBG,M6J,9,Davenport
447808,STR-2009-GTKPBH,M6J,11,University-Rosedale
447809,STR-2009-HBRPBJ,M2R,6,York Centre
447810,STR-2009-HJXPBK,M4R,8,Eglinton-Lawrence
447811,STR-2009-HSDPBL,M6J,10,Spadina-Fort York
447812,STR-2009-HZKPBM,M6N,9,Davenport
447813,STR-2009-FFFVBB,M6R,4,Parkdale-High Park
447814,STR-2009-GCYVBF,M8Y,3,Etobicoke-Lakeshore
447815,STR-2009-GLFVBG,M2M,18,Willowdale
447816,STR-2009-HBSVBJ,M4E,19,Beaches-East York
447817,STR-2009-HSFVBL,M9B,3,Etobicoke-Lakeshore
447818,STR-2009-HZLVBM,M2L,15,Don Valley West
447819,STR-2009-FFWHBB,M1T,22,Scarborough-Agincourt
447820,STR-2009-FPCHBC,M5A,13,Toronto Centre
447821,STR-2009-GDQHBF,M4G,15,Don Valley West
447822,STR-2009-GLWHBG,M5J,10,Spadina-Fort York
447823,STR-2009-GVCHBH,M2N,18,Willowdale
447824,STR-2009-HSWHBL,M2H,17,Don Valley North
447825,STR-2009-GFFVBF,M5V,10,Spadina-Fort York
447826,STR-2009-GMLVBG,M6J,10,Spadina-Fort York
447827,STR-2009-GVSVBH,M5T,10,Spadina-Fort York
447828,STR-2009-HCYVBJ,M6H,9,Davenport
447829,STR-2009-HLFVBK,M6G,12,Toronto-St. Paul's
447830,STR-2009-JBSVBM,M4V,12,Toronto-St. Paul's
447831,STR-2009-FHCHBB,M8Z,3,Etobicoke-Lakeshore
447832,STR-2009-GPCHBG,M4C,19,Beaches-East York
447833,STR-2009-GWJHBH,M3H,6,York Centre
447834,STR-2009-HDQHBJ,M6J,10,Spadina-Fort York
447835,STR-2009-HLWHBK,M5J,10,Spadina-Fort York
447836,STR-2009-JCJHBM,M6R,4,Parkdale-High Park
447837,STR-2009-FHSVBB,M4J,14,Toronto-Danforth
447838,STR-2009-FQYVBC,M4L,19,Beaches-East York
447839,STR-2009-FYFVBD,M5V,10,Spadina-Fort York
447840,STR-2009-GGLVBF,M1E,24,Scarborough-Guildwood
447841,STR-2009-GPSVBG,M5S,11,University-Rosedale
447842,STR-2009-HMLVBK,M6J,10,Spadina-Fort York
447843,STR-2009-HVSVBL,M5V,10,Spadina-Fort York
447844,STR-2009-FJJHBB,M5V,10,Spadina-Fort York
447845,STR-2009-FRQHBC,M4Y,13,Toronto Centre
447846,STR-2009-FYWHBD,M6B,8,Eglinton-Lawrence
447847,STR-2009-GHCHBF,M5V,10,Spadina-Fort York
447848,STR-2009-GQJHBG,M5B,13,Toronto Centre
447849,STR-2009-HFWHBJ,M5J,10,Spadina-Fort York
447850,STR-2009-HPCHBK,M5V,10,Spadina-Fort York
447851,STR-2009-HWJHBL,M5A,13,Toronto Centre
447852,STR-2009-JDQHBM,M5R,11,University-Rosedale
447853,STR-2009-FJYVBB,M6P,9,Davenport
447854,STR-2009-FZLVBD,M2R,18,Willowdale
447855,STR-2009-GHSVBF,M3J,7,Humber River-Black Creek
447856,STR-2009-GQYVBG,M4W,11,University-Rosedale
447857,STR-2009-GYFVBH,M6B,8,Eglinton-Lawrence
447858,STR-2009-HGLVBJ,M5J,10,Spadina-Fort York
447859,STR-2009-HWYVBL,M5V,10,Spadina-Fort York
447860,STR-2009-JFFVBM,M2M,18,Willowdale
447861,STR-2009-FKQHBB,M1L,20,Scarborough Southwest
447862,STR-2009-FSWHBC,M6G,12,Toronto-St. Paul's
447863,STR-2009-GBCHBD,M1E,24,Scarborough-Guildwood
447864,STR-2009-GJJHBF,M6E,8,Eglinton-Lawrence
447865,STR-2009-GRQHBG,M5A,13,Toronto Centre
447866,STR-2009-GYWHBH,M4L,14,Toronto-Danforth
447867,STR-2009-HHCHBJ,M2H,17,Don Valley North
447868,STR-2009-HQJHBK,M3L,7,Humber River-Black Creek
447869,STR-2009-HXQHBL,M6E,9,Davenport
447870,STR-2009-JFWHBM,M5B,13,Toronto Centre
447871,STR-2009-FLFVBB,M5R,11,University-Rosedale
447872,STR-2009-FTLVBC,M2J,17,Don Valley North
447873,STR-2009-GBSVBD,M5R,11,University-Rosedale
447874,STR-2009-GZLVBH,M6E,9,Davenport
447875,STR-2009-HHSVBJ,M8V,3,Etobicoke-Lakeshore
447876,STR-2009-HQYVBK,M6J,10,Spadina-Fort York
447877,STR-2009-JGLVBM,M6P,4,Parkdale-High Park
447878,STR-2009-FDQKPB,M6H,9,Davenport
447879,STR-2009-FLWKPC,M5V,10,Spadina-Fort York
447880,STR-2009-FVCKPD,M3C,16,Don Valley East
447881,STR-2009-GCJKPF,M8W,3,Etobicoke-Lakeshore
447882,STR-2009-GKQKPG,M9W,1,Etobicoke North
447883,STR-2009-GSWKPH,M2N,18,Willowdale
447884,STR-2009-HBCKPJ,M6G,11,University-Rosedale
447885,STR-2009-HRQKPL,M2J,17,Don Valley North
447886,STR-2009-HYWKPM,M3N,7,Humber River-Black Creek
447887,STR-2009-FFFXPB,M9B,3,Etobicoke-Lakeshore
447888,STR-2009-FMLXPC,M4J,14,Toronto-Danforth
447889,STR-2009-FVSXPD,M5J,10,Spadina-Fort York
447890,STR-2009-GLFXPG,M5T,11,University-Rosedale
447891,STR-2009-GTLXPH,M6J,10,Spadina-Fort York
447892,STR-2009-HBSXPJ,M6J,10,Spadina-Fort York
447893,STR-2009-HJYXPK,M1P,21,Scarborough Centre
447894,STR-2009-HSFXPL,M5S,13,Toronto Centre
447895,STR-2009-HZLXPM,M6G,12,Toronto-St. Paul's
447896,STR-2009-FWJKPD,M6P,4,Parkdale-High Park
447897,STR-2009-GDQKPF,M6J,10,Spadina-Fort York
447898,STR-2009-GLWKPG,M5J,10,Spadina-Fort York
447899,STR-2009-GVCKPH,M1N,20,Scarborough Southwest
447900,STR-2009-HCJKPJ,M4L,19,Beaches-East York
447901,STR-2009-HSWKPL,M5V,10,Spadina-Fort York
447902,STR-2009-JBCKPM,M9R,1,Etobicoke North
447903,STR-2009-FPSXPC,M4S,12,Toronto-St. Paul's
447904,STR-2009-FWYXPD,M6G,12,Toronto-St. Paul's
447905,STR-2009-GFFXPF,M2H,17,Don Valley North
447906,STR-2009-GMLXPG,M4L,14,Toronto-Danforth
447907,STR-2009-GVSXPH,M9M,7,Humber River-Black Creek
447908,STR-2009-HCYXPJ,M6J,9,Davenport
447909,STR-2009-HLFXPK,M9W,1,Etobicoke North
447910,STR-2009-HTLXPL,M2J,17,Don Valley North
447911,STR-2009-JBSXPM,M6P,9,Davenport
447912,STR-2009-FHCKPB,M5A,13,Toronto Centre
447913,STR-2009-FQJKPC,M4X,13,Toronto Centre
447914,STR-2009-FXQKPD,M5T,10,Spadina-Fort York
447915,STR-2009-GPCKPG,M1V,23,Scarborough North
447916,STR-2009-GWJKPH,M5V,10,Spadina-Fort York
447917,STR-2009-HLWKPK,M5V,10,Spadina-Fort York
447918,STR-2009-JCJKPM,M5A,13,Toronto Centre
447919,STR-2009-FHSXPB,M6R,4,Parkdale-High Park
447920,STR-2009-FQYXPC,M6M,5,York South-Weston
447921,STR-2009-GGLXPF,M4Y,13,Toronto Centre
447922,STR-2009-GWYXPH,M6P,4,Parkdale-High Park
447923,STR-2009-HFFXPJ,M8V,3,Etobicoke-Lakeshore
447924,STR-2009-HMLXPK,M6H,9,Davenport
447925,STR-2009-HVSXPL,M4J,14,Toronto-Danforth
447926,STR-2009-JCYXPM,M5A,13,Toronto Centre
447927,STR-2009-FJJKPB,M4Y,13,Toronto Centre
447928,STR-2009-FRQKPC,M8Y,3,Etobicoke-Lakeshore
447929,STR-2009-FYWKPD,M1K,20,Scarborough Southwest
447930,STR-2009-GHCKPF,M4S,12,Toronto-St. Paul's
447931,STR-2009-GQJKPG,M9C,2,Etobicoke Centre
447932,STR-2009-GXQKPH,M4C,19,Beaches-East York
447933,STR-2009-HFWKPJ,M5A,13,Toronto Centre
447934,STR-2009-HPCKPK,M9C,2,Etobicoke Centre
447935,STR-2009-HWJKPL,M4L,19,Beaches-East York
447936,STR-2009-JDQKPM,M4X,13,Toronto Centre
447937,STR-2009-FJYXPB,M4M,14,Toronto-Danforth
447938,STR-2009-FSFXPC,M1N,20,Scarborough Southwest
447939,STR-2009-FZLXPD,M2N,18,Willowdale
447940,STR-2009-GHSXPF,M6A,8,Eglinton-Lawrence
447941,STR-2009-GQYXPG,M9P,2,Etobicoke Centre
447942,STR-2009-GYFXPH,M5R,12,Toronto-St. Paul's
447943,STR-2009-HGLXPJ,M6M,5,York South-Weston
447944,STR-2009-HPSXPK,M5A,13,Toronto Centre
447945,STR-2009-HWYXPL,M4Y,13,Toronto Centre
447946,STR-2009-FKQKPB,M5A,13,Toronto Centre
447947,STR-2009-FSWKPC,M5B,13,Toronto Centre
447948,STR-2009-GBCKPD,M6M,5,York South-Weston
447949,STR-2009-GJJKPF,M6G,11,University-Rosedale
447950,STR-2009-GRQKPG,M2J,17,Don Valley North
447951,STR-2009-GYWKPH,M4M,14,Toronto-Danforth
447952,STR-2009-HHCKPJ,M1R,21,Scarborough Centre
447953,STR-2009-HXQKPL,M5S,13,Toronto Centre
447954,STR-2009-JFWKPM,M6G,11,University-Rosedale
447955,STR-2009-FLFXPB,M6A,8,Eglinton-Lawrence
447956,STR-2009-FTLXPC,M1B,25,Scarborough-Rouge Park
447957,STR-2009-GBSXPD,M6H,9,Davenport
447958,STR-2009-GJYXPF,M1N,20,Scarborough Southwest
447959,STR-2009-GSFXPG,M5J,10,Spadina-Fort York
447960,STR-2009-GZLXPH,M4M,14,Toronto-Danforth
447961,STR-2009-HHSXPJ,M6H,9,Davenport
447962,STR-2009-HQYXPK,M5V,10,Spadina-Fort York
447963,STR-2009-HYFXPL,M1P,21,Scarborough Centre
447964,STR-2009-FDRRPB,M5V,10,Spadina-Fort York
447965,STR-2009-JGLXPM,M4S,15,Don Valley West
447966,STR-2009-GCKRPF,M2M,18,Willowdale
447967,STR-2009-GKRRPG,M6R,4,Parkdale-High Park
447968,STR-2009-GSXRPH,M5A,13,Toronto Centre
447969,STR-2009-HBDRPJ,M3A,16,Don Valley East
447970,STR-2009-HJKRPK,M5M,8,Eglinton-Lawrence
447971,STR-2009-HYXRPM,M9W,1,Etobicoke North
447972,STR-2009-FMPDPC,M9L,7,Humber River-Black Creek
447973,STR-2009-GDBDPF,M1N,20,Scarborough Southwest
447974,STR-2009-GLHDPG,M6P,9,Davenport
447975,STR-2009-GTPDPH,M2M,18,Willowdale
447976,STR-2009-HBVDPJ,M1V,23,Scarborough North
447977,STR-2009-HKBDPK,M1T,22,Scarborough-Agincourt
447978,STR-2009-HZPDPM,M1E,24,Scarborough-Guildwood
447979,STR-2009-FFXRPB,M3J,7,Humber River-Black Creek
447980,STR-2009-FPDRPC,M2K,17,Don Valley North
447981,STR-2009-FWKRPD,M9B,3,Etobicoke-Lakeshore
447982,STR-2009-GDRRPF,M6J,9,Davenport
447983,STR-2009-GLXRPG,M6J,10,Spadina-Fort York
447984,STR-2009-GVDRPH,M1L,20,Scarborough Southwest
447985,STR-2009-HCKRPJ,M6N,9,Davenport
447986,STR-2009-HKRRPK,M6C,12,Toronto-St. Paul's
447987,STR-2009-HSXRPL,M4Y,13,Toronto Centre
447988,STR-2009-JBDRPM,M6R,4,Parkdale-High Park
447989,STR-2009-FGPDPB,M5V,10,Spadina-Fort York
447990,STR-2009-FPVDPC,M4A,16,Don Valley East
447991,STR-2009-GFHDPF,M2J,17,Don Valley North
447992,STR-2009-GMPDPG,M6P,4,Parkdale-High Park
447993,STR-2009-GVVDPH,M1E,25,Scarborough-Rouge Park
447994,STR-2009-HLHDPK,M6E,9,Davenport
447995,STR-2009-HTPDPL,M5A,13,Toronto Centre
447996,STR-2009-JBVDPM,M9C,2,Etobicoke Centre
447997,STR-2009-FHDRPB,M6C,12,Toronto-St. Paul's
447998,STR-2009-FQKRPC,M3H,6,York Centre
447999,STR-2009-FXRRPD,M6J,10,Spadina-Fort York
448000,STR-2009-GPDRPG,M9P,2,Etobicoke Centre
448001,STR-2009-GWKRPH,M6K,4,Parkdale-High Park
448002,STR-2009-HDRRPJ,M4J,14,Toronto-Danforth
448003,STR-2009-HLXRPK,M2K,17,Don Valley North
448004,STR-2009-HVDRPL,M9W,1,Etobicoke North
448005,STR-2009-JCKRPM,M2M,18,Willowdale
448006,STR-2009-FHVDPB,M4M,14,Toronto-Danforth
448007,STR-2009-FRBDPC,M6S,4,Parkdale-High Park
448008,STR-2009-FYHDPD,M8V,3,Etobicoke-Lakeshore
448009,STR-2009-GGPDPF,M4Y,13,Toronto Centre
448010,STR-2009-GPVDPG,M1B,23,Scarborough North
448011,STR-2009-GXBDPH,M4A,16,Don Valley East
448012,STR-2009-HFHDPJ,M6J,10,Spadina-Fort York
448013,STR-2009-HMPDPK,M6R,4,Parkdale-High Park
448014,STR-2009-HVVDPL,M6G,11,University-Rosedale
448015,STR-2009-FJKRPB,M6K,4,Parkdale-High Park
448016,STR-2009-FRRRPC,M2M,18,Willowdale
448017,STR-2009-GHDRPF,M5V,10,Spadina-Fort York
448018,STR-2009-GQKRPG,M6J,10,Spadina-Fort York
448019,STR-2009-GXRRPH,M4X,13,Toronto Centre
448020,STR-2009-HFXRPJ,M4B,19,Beaches-East York
448021,STR-2009-HPDRPK,M6S,4,Parkdale-High Park
448022,STR-2009-HWKRPL,M8Z,3,Etobicoke-Lakeshore
448023,STR-2009-JDRRPM,M3B,16,Don Valley East
448024,STR-2009-FKBDPB,M4M,14,Toronto-Danforth
448025,STR-2009-FSHDPC,M6A,8,Eglinton-Lawrence
448026,STR-2009-FZPDPD,M4C,19,Beaches-East York
448027,STR-2009-GRBDPG,M4C,19,Beaches-East York
448028,STR-2009-GYHDPH,M1S,22,Scarborough-Agincourt
448029,STR-2009-HGPDPJ,M1W,22,Scarborough-Agincourt
448030,STR-2009-HPVDPK,M4M,14,Toronto-Danforth
448031,STR-2009-HXBDPL,M4T,11,University-Rosedale
448032,STR-2009-JFHDPM,M4T,11,University-Rosedale
448033,STR-2009-FKRRPB,M6J,10,Spadina-Fort York
448034,STR-2009-FSXRPC,M5J,10,Spadina-Fort York
448035,STR-2009-GBDRPD,M5A,10,Spadina-Fort York
448036,STR-2009-GJKRPF,M4K,14,Toronto-Danforth
448037,STR-2009-GRRRPG,M5A,13,Toronto Centre
448038,STR-2009-GYXRPH,M2K,17,Don Valley North
448039,STR-2009-HHDRPJ,M9P,1,Etobicoke North
448040,STR-2009-HQKRPK,M5V,10,Spadina-Fort York
448041,STR-2009-HXRRPL,M6S,4,Parkdale-High Park
448042,STR-2009-JFXRPM,M6E,9,Davenport
448043,STR-2009-FLHDPB,M6R,4,Parkdale-High Park
448044,STR-2009-GBVDPD,M5R,11,University-Rosedale
448045,STR-2009-GSHDPG,M5J,10,Spadina-Fort York
448046,STR-2009-HHVDPJ,M5V,10,Spadina-Fort York
448047,STR-2009-HRBDPK,M2J,17,Don Valley North
448048,STR-2009-FDSXPB,M2H,17,Don Valley North
448049,STR-2009-FLYXPC,M4M,14,Toronto-Danforth
448050,STR-2009-FVFXPD,M8Z,3,Etobicoke-Lakeshore
448051,STR-2009-GCLXPF,M1J,21,Scarborough Centre
448052,STR-2009-GSYXPH,M4S,12,Toronto-St. Paul's
448053,STR-2009-HBFXPJ,M1T,22,Scarborough-Agincourt
448054,STR-2009-HJLXPK,M3C,16,Don Valley East
448055,STR-2009-HRSXPL,M5S,11,University-Rosedale
448056,STR-2009-FFJKPB,M6K,10,Spadina-Fort York
448057,STR-2009-FMQKPC,M9W,1,Etobicoke North
448058,STR-2009-FVWKPD,M6N,5,York South-Weston
448059,STR-2009-GDCKPF,M1E,25,Scarborough-Rouge Park
448060,STR-2009-GLJKPG,M1J,24,Scarborough-Guildwood
448061,STR-2009-GTQKPH,M5R,11,University-Rosedale
448062,STR-2009-HBWKPJ,M6H,9,Davenport
448063,STR-2009-HZQKPM,M2J,17,Don Valley North
448064,STR-2009-FFYXPB,M3M,6,York Centre
448065,STR-2009-FWLXPD,M3M,6,York Centre
448066,STR-2009-GDSXPF,M1W,22,Scarborough-Agincourt
448067,STR-2009-GVFXPH,M4G,15,Don Valley West
448068,STR-2009-HCLXPJ,M4L,14,Toronto-Danforth
448069,STR-2009-HKSXPK,M5J,10,Spadina-Fort York
448070,STR-2009-HSYXPL,M1R,21,Scarborough Centre
448071,STR-2009-FGQKPB,M5A,13,Toronto Centre
448072,STR-2009-FPWKPC,M4W,11,University-Rosedale
448073,STR-2009-FXCKPD,M2J,17,Don Valley North
448074,STR-2009-GFJKPF,M4Y,13,Toronto Centre
448075,STR-2009-GMQKPG,M5R,11,University-Rosedale
448076,STR-2009-GVWKPH,M4W,11,University-Rosedale
448077,STR-2009-HDCKPJ,M4A,16,Don Valley East
448078,STR-2009-JBWKPM,M6S,4,Parkdale-High Park
448079,STR-2009-FHFXPB,M1E,24,Scarborough-Guildwood
448080,STR-2009-FQLXPC,M5M,8,Eglinton-Lawrence
448081,STR-2009-FXSXPD,M8W,3,Etobicoke-Lakeshore
448082,STR-2009-GFYXPF,M6G,11,University-Rosedale
448083,STR-2009-GWLXPH,M1S,22,Scarborough-Agincourt
448084,STR-2009-HVFXPL,M6E,12,Toronto-St. Paul's
448085,STR-2009-JCLXPM,M6P,4,Parkdale-High Park
448086,STR-2009-FRCKPC,M4L,14,Toronto-Danforth
448087,STR-2009-GPWKPG,M2N,18,Willowdale
448088,STR-2009-GXCKPH,M4L,19,Beaches-East York
448089,STR-2009-HMQKPK,M4C,19,Beaches-East York
448090,STR-2009-HVWKPL,M5H,10,Spadina-Fort York
448091,STR-2009-JDCKPM,M6J,11,University-Rosedale
448092,STR-2009-FJLXPB,M4K,14,Toronto-Danforth
448093,STR-2009-FYYXPD,M1T,22,Scarborough-Agincourt
448094,STR-2009-GHFXPF,M5S,11,University-Rosedale
448095,STR-2009-GQLXPG,M2N,18,Willowdale
448096,STR-2009-GXSXPH,M6G,11,University-Rosedale
448097,STR-2009-HPFXPK,M6H,9,Davenport
448098,STR-2009-HWLXPL,M3J,7,Humber River-Black Creek
448099,STR-2010-JDSXPM,M1N,20,Scarborough Southwest
448100,STR-2010-FKCKPB,M6H,9,Davenport
448101,STR-2010-FSJKPC,M4K,14,Toronto-Danforth
448102,STR-2010-FZQKPD,M3L,6,York Centre
448103,STR-2010-GRCKPG,M5T,11,University-Rosedale
448104,STR-2010-GYJKPH,M4Y,13,Toronto Centre
448105,STR-2010-HPWKPK,M4L,19,Beaches-East York
448106,STR-2010-HXCKPL,M6E,9,Davenport
448107,STR-2010-JFJKPM,M3A,16,Don Valley East
448108,STR-2010-FKSXPB,M6R,4,Parkdale-High Park
448109,STR-2010-FSYXPC,M3H,6,York Centre
448110,STR-2010-GBFXPD,M6J,9,Davenport
448111,STR-2010-GJLXPF,M5J,10,Spadina-Fort York
448112,STR-2010-GRSXPG,M6S,4,Parkdale-High Park
448113,STR-2010-GYYXPH,M6G,11,University-Rosedale
448114,STR-2010-HHFXPJ,M5B,13,Toronto Centre
448115,STR-2010-JFYXPM,M1R,21,Scarborough Centre
448116,STR-2010-FLJKPB,M6G,12,Toronto-St. Paul's
448117,STR-2010-FTQKPC,M1B,25,Scarborough-Rouge Park
448118,STR-2010-GBWKPD,M4S,12,Toronto-St. Paul's
448119,STR-2010-GKCKPF,M6E,9,Davenport
448120,STR-2010-GSJKPG,M6J,10,Spadina-Fort York
448121,STR-2010-GZQKPH,M5A,10,Spadina-Fort York
448122,STR-2010-HHWKPJ,M6J,11,University-Rosedale
448123,STR-2010-HYJKPL,M4E,19,Beaches-East York
448124,STR-2010-FDVDPB,M4K,14,Toronto-Danforth
448125,STR-2010-FMBDPC,M5H,10,Spadina-Fort York
448126,STR-2010-FVHDPD,M1N,20,Scarborough Southwest
448127,STR-2010-GKVDPG,M8Y,3,Etobicoke-Lakeshore
448128,STR-2010-GTBDPH,M6H,9,Davenport
448129,STR-2010-HJPDPK,M6G,11,University-Rosedale
448130,STR-2010-HRVDPL,M6C,12,Toronto-St. Paul's
448131,STR-2010-FFKRPB,M1S,23,Scarborough North
448132,STR-2010-FMRRPC,M6P,4,Parkdale-High Park
448133,STR-2010-FVXRPD,M1W,22,Scarborough-Agincourt
448134,STR-2010-GDDRPF,M6G,11,University-Rosedale
448135,STR-2010-GTRRPH,M6K,10,Spadina-Fort York
448136,STR-2010-HKDRPK,M4Y,11,University-Rosedale
448137,STR-2010-FPHDPC,M6P,4,Parkdale-High Park
448138,STR-2010-FWPDPD,M6J,10,Spadina-Fort York
448139,STR-2010-GDVDPF,M2N,18,Willowdale
448140,STR-2010-GMBDPG,M5J,10,Spadina-Fort York
448141,STR-2010-HKVDPK,M6M,5,York South-Weston
448142,STR-2010-HTBDPL,M8V,3,Etobicoke-Lakeshore
448143,STR-2010-JBHDPM,M5V,10,Spadina-Fort York
448144,STR-2010-FPXRPC,M6E,12,Toronto-St. Paul's
448145,STR-2010-GFKRPF,M4E,19,Beaches-East York
448146,STR-2010-GMRRPG,M2J,17,Don Valley North
448147,STR-2010-HDDRPJ,M6J,9,Davenport
448148,STR-2010-HLKRPK,M6S,4,Parkdale-High Park
448149,STR-2010-HTRRPL,M6K,9,Davenport
448150,STR-2010-FQPDPC,M6H,9,Davenport
448151,STR-2010-FXVDPD,M1N,20,Scarborough Southwest
448152,STR-2010-GGBDPF,M6K,10,Spadina-Fort York
448153,STR-2010-GPHDPG,M2J,17,Don Valley North
448154,STR-2010-GWPDPH,M6R,4,Parkdale-High Park
448155,STR-2010-HVHDPL,M1M,20,Scarborough Southwest
448156,STR-2010-JCPDPM,M9B,3,Etobicoke-Lakeshore
448157,STR-2010-FHXRPB,M6P,4,Parkdale-High Park
448158,STR-2010-FRDRPC,M1S,23,Scarborough North
448159,STR-2010-GGRRPF,M5J,10,Spadina-Fort York
448160,STR-2010-GPXRPG,M5J,10,Spadina-Fort York
448161,STR-2010-GXDRPH,M6P,4,Parkdale-High Park
448162,STR-2010-HFKRPJ,M5R,11,University-Rosedale
448163,STR-2010-HVXRPL,M9B,2,Etobicoke Centre
448164,STR-2010-JDDRPM,M1L,20,Scarborough Southwest
448165,STR-2010-FJPDPB,M6H,9,Davenport
448166,STR-2010-FRVDPC,M6J,10,Spadina-Fort York
448167,STR-2010-GHHDPF,M4G,15,Don Valley West
448168,STR-2010-GQPDPG,M4E,19,Beaches-East York
448169,STR-2010-GXVDPH,M4H,15,Don Valley West
448170,STR-2010-HPHDPK,M1B,23,Scarborough North
448171,STR-2010-HWPDPL,M9A,3,Etobicoke-Lakeshore
448172,STR-2010-FKDRPB,M6R,4,Parkdale-High Park
448173,STR-2010-FSKRPC,M1M,20,Scarborough Southwest
448174,STR-2010-FZRRPD,M9B,3,Etobicoke-Lakeshore
448175,STR-2010-GHXRPF,M6G,11,University-Rosedale
448176,STR-2010-GRDRPG,M4J,14,Toronto-Danforth
448177,STR-2010-GYKRPH,M3B,15,Don Valley West
448178,STR-2010-HGRRPJ,M5V,10,Spadina-Fort York
448179,STR-2010-HPXRPK,M5M,8,Eglinton-Lawrence
448180,STR-2010-HXDRPL,M4C,19,Beaches-East York
448181,STR-2010-JFKRPM,M3N,7,Humber River-Black Creek
448182,STR-2010-FKVDPB,M9C,2,Etobicoke Centre
448183,STR-2010-FTBDPC,M5B,13,Toronto Centre
448184,STR-2010-GBHDPD,M4Y,13,Toronto Centre
448185,STR-2010-GJPDPF,M5H,10,Spadina-Fort York
448186,STR-2010-GRVDPG,M4K,14,Toronto-Danforth
448187,STR-2010-GZBDPH,M5R,12,Toronto-St. Paul's
448188,STR-2010-HHHDPJ,M4K,14,Toronto-Danforth
448189,STR-2010-HQPDPK,M5V,10,Spadina-Fort York
448190,STR-2010-JGBDPM,M5V,10,Spadina-Fort York
448191,STR-2010-FLKRPB,M6K,9,Davenport
448192,STR-2010-FTRRPC,M5R,11,University-Rosedale
448193,STR-2010-GSKRPG,M5V,10,Spadina-Fort York
448194,STR-2010-GZRRPH,M5V,10,Spadina-Fort York
448195,STR-2010-HHXRPJ,M6J,9,Davenport
448196,STR-2010-HRDRPK,M6M,5,York South-Weston
448197,STR-2010-HYKRPL,M5C,13,Toronto Centre
448198,STR-2010-JGRRPM,M4M,14,Toronto-Danforth
448199,STR-2010-FDWKPB,M6K,4,Parkdale-High Park
448200,STR-2010-FMCKPC,M6E,9,Davenport
448201,STR-2010-FVJKPD,M5V,10,Spadina-Fort York
448202,STR-2010-GTCKPH,M6P,9,Davenport
448203,STR-2010-HBJKPJ,M1G,24,Scarborough-Guildwood
448204,STR-2010-HJQKPK,M2K,17,Don Valley North
448205,STR-2010-HRWKPL,M5B,13,Toronto Centre
448206,STR-2010-FFLXPB,M1W,22,Scarborough-Agincourt
448207,STR-2010-FMSXPC,M6S,4,Parkdale-High Park
448208,STR-2010-FVYXPD,M4L,14,Toronto-Danforth
448209,STR-2010-GLLXPG,M5A,13,Toronto Centre
448210,STR-2010-GTSXPH,M1M,20,Scarborough Southwest
448211,STR-2010-HKFXPK,M5V,10,Spadina-Fort York
448212,STR-2010-FGCKPB,M6H,9,Davenport
448213,STR-2010-FPJKPC,M4K,14,Toronto-Danforth
448214,STR-2010-FWQKPD,M5V,10,Spadina-Fort York
448215,STR-2010-GDWKPF,M5S,13,Toronto Centre
448216,STR-2010-GMCKPG,M4C,19,Beaches-East York
448217,STR-2010-HCQKPJ,M5S,11,University-Rosedale
448218,STR-2010-HTCKPL,M4E,19,Beaches-East York
448219,STR-2010-JBJKPM,M4L,19,Beaches-East York
448220,STR-2010-FGSXPB,M6N,5,York South-Weston
448221,STR-2010-FPYXPC,M8Z,3,Etobicoke-Lakeshore
448222,STR-2010-FXFXPD,M1N,20,Scarborough Southwest
448223,STR-2010-GFLXPF,M6H,9,Davenport
448224,STR-2010-GVYXPH,M9C,2,Etobicoke Centre
448225,STR-2010-HDFXPJ,M4S,15,Don Valley West
448226,STR-2010-HLLXPK,M4X,13,Toronto Centre
448227,STR-2010-HTSXPL,M4L,19,Beaches-East York
448228,STR-2010-JBYXPM,M1V,22,Scarborough-Agincourt
448229,STR-2010-FHJKPB,M4M,14,Toronto-Danforth
448230,STR-2010-FQQKPC,M4J,14,Toronto-Danforth
448231,STR-2010-FXWKPD,M1H,24,Scarborough-Guildwood
448232,STR-2010-GGCKPF,M5A,13,Toronto Centre
448233,STR-2010-GPJKPG,M5A,13,Toronto Centre
448234,STR-2010-GWQKPH,M9M,7,Humber River-Black Creek
448235,STR-2010-HDWKPJ,M5V,10,Spadina-Fort York
448236,STR-2010-HMCKPK,M6N,9,Davenport
448237,STR-2010-HVJKPL,M3A,16,Don Valley East
448238,STR-2010-JCQKPM,M6K,10,Spadina-Fort York
448239,STR-2010-FHYXPB,M6J,10,Spadina-Fort York
448240,STR-2010-FRFXPC,M6H,9,Davenport
448241,STR-2010-FYLXPD,M4C,19,Beaches-East York
448242,STR-2010-GGSXPF,M6P,9,Davenport
448243,STR-2010-GPYXPG,M4C,19,Beaches-East York
448244,STR-2010-GXFXPH,M6H,9,Davenport
